asset_id,symbol,asset_name,sample_rank,return_autocorrelation_lag_1,absolute_return_autocorrelation_lag_1,return_autocorrelation_lag_5,absolute_return_autocorrelation_lag_5,return_autocorrelation_lag_10,absolute_return_autocorrelation_lag_10
croatian-ff-fan-token,VATRENI,Croatian Football Federation Token,1.0,-0.12260382254629695,0.405429180575178,-0.024970333829660095,0.11173128641596819,-0.026380621283129554,0.09270422530160918
og-fan-token,OG,OG Fan Token,2.0,-0.03813890701930446,0.2978772505515931,-0.005547975115085258,0.11125180068366407,0.0025430997353265827,0.06066729823418736
atletico-madrid,ATM,Atletico Madrid Fan Token,3.0,0.03480745191849068,0.32253073508482927,0.044825127585955575,0.13555125524825262,-0.050121627430997774,0.14956573540095291
santos-fc-fan-token,SANTOS,Santos FC Fan Token,4.0,-0.028143230416845254,0.24804278594883444,0.04009448557269613,0.09139740995986285,-0.02026896264127975,0.06009981045567785
paris-saint-germain-fan-token,PSG,Paris Saint-Germain Fan Token,5.0,-0.04110225474303228,0.36591760719167293,-0.02078559755708906,0.15704796796602802,0.012872455280316936,0.08060452060098895
fc-barcelona-fan-token,BAR,FC Barcelona Fan Token,6.0,-0.032126156199623994,0.28483391502525857,0.009023901095153447,0.17992090316221518,0.030024922816995276,0.11503043013521884
as-roma-fan-token,ASR,AS Roma Fan Token,7.0,-0.00913734237744798,0.3045227092692406,0.024819226329538917,0.11964069680712869,0.00909084331930784,0.09561623625090888
galatasaray-fan-token,GAL,Galatasaray Fan Token,8.0,-0.027798819461280624,0.47620331733481064,-0.008765961391115872,0.18092197199019555,0.027216725686313392,0.09705913266655726
fc-porto,PORTO,FC Porto Fan Token,10.0,-0.0516465331074072,0.2747895165745188,0.021177350838871106,0.12031017614406068,-0.027566094721515205,0.07274334321175514
manchester-city-fan-token,CITY,Manchester City Fan Token,11.0,0.012332901301893124,0.24423335818950442,0.03154985240994942,0.08990192949698748,-0.024940460256456718,0.04862119512604171
lazio-fan-token,LAZIO,Lazio Fan Token,12.0,-0.059544753897352115,0.3363783208076325,0.03603735382616576,0.1923908969409359,0.01955526223844448,0.10520321244494321
juventus-fan-token,JUV,Juventus Fan Token,13.0,-0.08226760625042691,0.3429687602363196,-0.014391567677692617,0.1637026889591543,0.021201973306288743,0.11502334491351512
ac-milan-fan-token,ACM,AC Milan Fan Token,14.0,-0.09236453470001253,0.29737016441370806,0.0076097976337775345,0.17661935995785985,-0.02674948352487548,0.0986543806228962
arsenal-fan-token,AFC,Arsenal Fan Token,15.0,-0.0008318818089491747,0.27901032708106804,0.055980168293783744,0.10785506971593342,0.02691745107197105,0.09144531327730852
alpine-f1-team-fan-token,ALPINE,Alpine F1 Team Fan Token,16.0,0.0399300495636417,0.24060271724735294,-0.18474770307415045,0.2791750265734915,-0.00658072328692408,0.04350779865162771
inter-milan-fan-token,INTER,Inter Milan Fan Token,17.0,0.075012173833009,0.2520579495069522,0.041938558240991436,0.10513987859832173,0.02990352729922625,0.07270746358663352
trabzonspor-fan-token,TRA,Trabzonspor Fan Token,18.0,0.002994102215161953,0.40173835467943386,-0.024880635802676656,0.13891508830439173,0.0241120338316919,0.08890492015288068
argentine-football-association-fan-token,ARG,Argentine Football Association Fan Token,19.0,-0.00013967075374025234,0.3062246083389011,-0.037446868219513076,0.17057491285780674,0.005956800982472808,0.13025603844013245
napoli-fan-token,NAP,Napoli Fan Token,20.0,-0.06507990478491821,0.2980807283242925,0.04097002235706591,0.12135900664858512,0.007436142554062207,0.009827789810584367
portugal-national-team-fan-token,POR,Portugal National Team Fan Token,22.0,-0.13451723925689482,0.44727385614208315,0.10181821551915463,0.2999122930236203,0.06668753306066327,0.2141113084769591
