asset_id,symbol,asset_name,sample_rank,return_observations,mean_daily_return_pct,median_daily_return_pct,std_daily_return_pct,minimum_daily_return_pct,p01_daily_return_pct,p05_daily_return_pct,p95_daily_return_pct,p99_daily_return_pct,maximum_daily_return_pct,return_skewness,return_excess_kurtosis,median_annualized_30d_volatility_pct,maximum_annualized_30d_volatility_pct
croatian-ff-fan-token,VATRENI,Croatian Football Federation Token,1.0,1392,0.04312298600825913,-0.0532524540716172,10.22415142821465,-91.4144678672409,-25.127282923343355,-12.869279133222602,13.431317414221002,33.373323257511984,83.92640271933871,0.25149222036669666,23.31695419785353,131.22724303182258,564.601825142333
og-fan-token,OG,OG Fan Token,2.0,2281,0.017299913856885916,-0.2005274159403214,8.018501992859463,-73.96773109771195,-18.866410708892943,-9.340013019868753,9.485711228360106,21.772142936190424,120.62060666930662,3.0250415911901984,48.723513245348464,95.65314144447207,612.3930230788278
atletico-madrid,ATM,Atletico Madrid Fan Token,3.0,2281,-0.05896988051238916,-0.1057295595986884,6.044522115150041,-86.17733661926388,-13.999501167666653,-7.200428938519732,7.398400209490052,18.0359696091349,58.89233523733917,-0.45685187232204283,40.95344260343524,76.12776063590641,456.2041857946792
santos-fc-fan-token,SANTOS,Santos FC Fan Token,4.0,1753,-0.17151435468348494,-0.13947116604891,6.299820501239473,-44.02866567446242,-16.54180118561691,-8.16987327728011,6.717732138083926,17.65464141333877,80.20987374361171,2.6440531440907185,32.94486580434118,83.88397029783809,371.1637052743885
paris-saint-germain-fan-token,PSG,Paris Saint-Germain Fan Token,5.0,2291,-0.11226384365028562,-0.0810604515750379,5.65040351640802,-65.9622018152644,-14.488519514376272,-7.369918523817731,6.675617863176242,16.59645778133348,83.78189774106133,0.9644159962088039,42.229051008140644,67.49661120971172,379.41267557755776
fc-barcelona-fan-token,BAR,FC Barcelona Fan Token,6.0,2278,-0.14058177601266936,-0.07036840472127154,4.7794764644395995,-40.40071206286386,-13.871314823559803,-6.9728380107967975,6.875030092530107,14.163189532897405,62.28604270497837,0.7885890074019937,20.90631819499093,64.47231203315832,284.3058302512754
as-roma-fan-token,ASR,AS Roma Fan Token,7.0,2281,-0.06323435620066502,-0.1223746186892027,6.243193350707682,-89.36760859225177,-14.651101795779613,-7.474862029752499,7.461706877493529,20.20284135482954,78.9823982946547,0.3985528220135965,41.40430481177306,77.41726602605345,541.9097743684072
galatasaray-fan-token,GAL,Galatasaray Fan Token,8.0,2294,-0.07573832748922817,0.02656980462615305,5.542653827054983,-64.49330643148792,-16.011792147821367,-7.041191061098943,6.876453481579461,15.954855089292412,60.42278805641912,0.34553997830570155,31.78409018247648,67.09064092437261,369.472698418842
fc-porto,PORTO,FC Porto Fan Token,10.0,1768,-0.16368218530096643,-0.0477089977586886,5.0791228936407045,-53.758471142090215,-13.528429777710404,-6.960775243592597,5.7836378301741584,14.149123905816065,47.20321750074547,0.25136951385168144,22.66186192359378,68.08270840706335,287.6364151483768
manchester-city-fan-token,CITY,Manchester City Fan Token,11.0,1942,-0.22006098976799068,-0.09148220670024405,4.0787572662564076,-47.14962069519586,-11.34377076806259,-5.8595759000258365,5.190565948033019,10.872586990284914,19.73211110316877,-1.994609563970653,22.365021774709636,62.63237155075774,252.56401296052468
lazio-fan-token,LAZIO,Lazio Fan Token,12.0,1794,-0.2293676443640094,-0.14357145051506753,5.329423927223908,-57.110341490340346,-15.276580294612042,-7.1866003724468435,5.505760227255991,17.110294084157673,44.31313163218624,0.6363453465077159,21.501044040107125,70.30186997875548,310.6803075770073
juventus-fan-token,JUV,Juventus Fan Token,13.0,2341,-0.0835823368040279,-0.0957732828521074,5.396999841570129,-57.66997490697672,-14.049904478953264,-6.99043834195722,6.664993710243927,14.622918365058034,67.20598564080373,0.7470798625743096,29.49998246462458,69.21482903716445,320.73334885154287
ac-milan-fan-token,ACM,AC Milan Fan Token,14.0,2034,-0.15126934322594698,-0.06756348661544614,5.368078364726769,-46.385451610199446,-12.937131802386642,-6.845994050048635,5.581122310911942,13.783927876137762,112.91133485417394,4.1637042720319295,108.28033758414593,68.17823018626088,531.6723980529168
arsenal-fan-token,AFC,Arsenal Fan Token,15.0,1787,-0.19588276664968166,-0.0815907732980569,3.665920498032484,-36.96374098536843,-10.519227792240287,-5.44302494535327,4.8321830953192935,10.227632694441485,29.75469751752029,-0.2939710276955396,15.53893520040604,54.65141715051801,165.97079373528427
alpine-f1-team-fan-token,ALPINE,Alpine F1 Team Fan Token,16.0,1671,-0.16423177749561677,-0.0334832634998893,6.924796298732106,-131.83711346062407,-15.379015287261721,-7.501802812574026,5.98837436470118,20.24478792377692,77.91918213055531,-2.2598191022637244,103.59674535621272,73.93790286762297,583.7630758006542
inter-milan-fan-token,INTER,Inter Milan Fan Token,17.0,1831,-0.20393338759185206,-0.1532202251002146,3.9031065402443472,-47.7250665584232,-11.31029993749243,-5.272375189495548,4.72418566813404,10.877424295721504,27.280833257214237,-1.4147253349622892,26.014649215187433,53.752348793413105,227.78557902093863
trabzonspor-fan-token,TRA,Trabzonspor Fan Token,18.0,2139,-0.08343718749009937,-0.0873491742846344,5.4354942077593185,-43.425789510948256,-15.236695715414587,-6.234105566625734,5.406637512577143,19.2641028215377,71.03095676458896,2.4158229312209696,40.670059668279386,57.668409581742715,388.09431783136336
argentine-football-association-fan-token,ARG,Argentine Football Association Fan Token,19.0,1866,-0.220360826085896,-0.20460703420825394,6.3014648570751515,-61.34521781093192,-16.5782256764771,-8.197856254531592,8.325311306592313,18.06308400068872,68.8883960979396,0.27518318844446177,24.606659632817028,82.58793953984696,305.0301900316835
napoli-fan-token,NAP,Napoli Fan Token,20.0,1478,-0.18382785931651624,-0.16006622820831645,4.079206730928835,-27.865575549500534,-11.485385843274909,-4.878132120105918,4.075401867190767,13.014924283853603,49.49447412870613,2.6126331424461897,35.4157157203516,48.2618856960674,189.43346703872595
portugal-national-team-fan-token,POR,Portugal National Team Fan Token,22.0,1760,-0.15361035004692777,-0.18270649708934583,5.958320543139381,-61.86369153144498,-16.793223938483493,-7.4591571340143865,7.209111944168104,16.165582107143525,62.18233014848891,-0.13598014816854603,23.556024611680115,73.21295831645622,498.7538465370802
