asset_id,symbol,asset_name,asset_type,sample_rank,first_valid_date,last_expected_date,expected_calendar_days,valid_price_days,return_observations,missing_price_days,coverage_ratio,duplicate_rows,conflicting_duplicate_dates,invalid_price_days,zero_volume_days,extreme_return_days,largest_positive_return_pct,largest_negative_return_pct,quality_status,quality_issues
bitcoin,BTC,Bitcoin,benchmark,,2019-01-01,2026-09-19,2819,2819,2818,0,1.0,0,0,0,0,0,17.18205618881239,-46.47301753397741,PASS,
chiliz,CHZ,Chiliz,benchmark,,2019-07-01,2026-09-19,2638,2638,2637,0,1.0,0,0,0,0,0,71.52953641658038,-70.11394604130513,PASS,
ethereum,ETH,Ethereum,benchmark,,2019-01-01,2026-09-19,2819,2819,2818,0,1.0,0,0,0,0,0,23.069522900113082,-55.073174382201096,PASS,
croatian-ff-fan-token,VATRENI,Croatian Football Federation Token,fan_token,1.0,2022-11-27,2026-09-19,1393,1393,1392,0,1.0,0,0,0,7,0,83.92640271933871,-91.4144678672409,PASS,
og-fan-token,OG,OG Fan Token,fan_token,2.0,2020-06-21,2026-09-19,2282,2282,2281,0,1.0,0,0,0,11,1,120.62060666930662,-73.96773109771195,PASS,
atletico-madrid,ATM,Atletico Madrid Fan Token,fan_token,3.0,2020-06-21,2026-09-19,2282,2282,2281,0,1.0,0,0,0,11,0,58.89233523733917,-86.17733661926388,PASS,
santos-fc-fan-token,SANTOS,Santos FC Fan Token,fan_token,4.0,2021-12-01,2026-09-19,1754,1754,1753,0,1.0,0,0,0,0,0,80.20987374361171,-44.02866567446242,PASS,
paris-saint-germain-fan-token,PSG,Paris Saint-Germain Fan Token,fan_token,5.0,2020-06-11,2026-09-19,2292,2292,2291,0,1.0,0,0,0,11,0,83.78189774106133,-65.9622018152644,PASS,
fc-barcelona-fan-token,BAR,FC Barcelona Fan Token,fan_token,6.0,2020-06-24,2026-09-19,2279,2279,2278,0,1.0,0,0,0,59,0,62.28604270497837,-40.40071206286386,PASS,
as-roma-fan-token,ASR,AS Roma Fan Token,fan_token,7.0,2020-06-21,2026-09-19,2282,2282,2281,0,1.0,0,0,0,11,0,78.9823982946547,-89.36760859225177,PASS,
galatasaray-fan-token,GAL,Galatasaray Fan Token,fan_token,8.0,2020-06-08,2026-09-19,2295,2295,2294,0,1.0,0,0,0,4,0,60.42278805641912,-64.49330643148792,PASS,
fc-porto,PORTO,FC Porto Fan Token,fan_token,10.0,2021-11-16,2026-09-19,1769,1769,1768,0,1.0,0,0,0,0,0,47.20321750074547,-53.758471142090215,PASS,
manchester-city-fan-token,CITY,Manchester City Fan Token,fan_token,11.0,2021-05-26,2026-09-19,1943,1943,1942,0,1.0,0,0,0,8,0,19.73211110316877,-47.14962069519586,PASS,
lazio-fan-token,LAZIO,Lazio Fan Token,fan_token,12.0,2021-10-21,2026-09-19,1795,1795,1794,0,1.0,0,0,0,0,0,44.31313163218624,-57.110341490340346,PASS,
juventus-fan-token,JUV,Juventus Fan Token,fan_token,13.0,2020-04-22,2026-09-19,2342,2342,2341,0,1.0,0,0,0,11,0,67.20598564080373,-57.66997490697672,PASS,
ac-milan-fan-token,ACM,AC Milan Fan Token,fan_token,14.0,2021-02-23,2026-09-19,2035,2035,2034,0,1.0,0,0,0,1,1,112.91133485417394,-46.385451610199446,PASS,
arsenal-fan-token,AFC,Arsenal Fan Token,fan_token,15.0,2021-10-28,2026-09-19,1788,1788,1787,0,1.0,0,0,0,0,0,29.75469751752029,-36.96374098536843,PASS,
alpine-f1-team-fan-token,ALPINE,Alpine F1 Team Fan Token,fan_token,16.0,2022-02-21,2026-09-19,1672,1672,1671,0,1.0,0,0,0,0,1,77.91918213055531,-131.83711346062407,PASS,
inter-milan-fan-token,INTER,Inter Milan Fan Token,fan_token,17.0,2021-09-14,2026-09-19,1832,1832,1831,0,1.0,0,0,0,0,0,27.280833257214233,-47.7250665584232,PASS,
trabzonspor-fan-token,TRA,Trabzonspor Fan Token,fan_token,18.0,2020-11-10,2026-09-19,2140,2140,2139,0,1.0,0,0,0,11,0,71.03095676458896,-43.425789510948256,PASS,
argentine-football-association-fan-token,ARG,Argentine Football Association Fan Token,fan_token,19.0,2021-08-10,2026-09-19,1867,1867,1866,0,1.0,0,0,0,87,0,68.8883960979396,-61.34521781093192,PASS,
napoli-fan-token,NAP,Napoli Fan Token,fan_token,20.0,2022-09-02,2026-09-19,1479,1479,1478,0,1.0,0,0,0,0,0,49.49447412870613,-27.865575549500534,PASS,
portugal-national-team-fan-token,POR,Portugal National Team Fan Token,fan_token,22.0,2021-11-24,2026-09-19,1761,1761,1760,0,1.0,0,0,0,1,0,62.18233014848891,-61.86369153144498,PASS,
